bill_id,title,summary,type,status,date
1,Police Equipment Funding,An ordinance to allocate additional funds for police equipment and training to improve public safety readiness.,N/A,Passed,2024-11-15
2,Reduce Police Budget,An ordinance proposing to reduce funding for law enforcement departments and redirect it to community programs.,N/A,Proposed,2025-01-12
3,Teacher Salary Increase,An ordinance to increase the salaries of public school teachers across the city to address retention issues.,N/A,Passed,2024-12-03
4,School Funding Cut,An ordinance proposing budget cuts for public schools to reduce overall city spending.,N/A,Proposed,2025-02-01
5,Small Business Tax Relief,An ordinance providing tax incentives to small businesses to promote local economic growth and job creation.,N/A,Passed,2025-01-18
6,Corporate Tax Increase,An ordinance to increase corporate taxes on large businesses to fund social services.,N/A,Proposed,2025-03-10
7,Library Renovation,An ordinance approving funding for public library renovations to improve access to community resources.,N/A,Passed,2025-02-10
8,Park Maintenance Initiative,An ordinance to enhance and maintain public parks and recreation facilities throughout the city.,N/A,Passed,2025-03-07
9,Neighborhood Watch Expansion,An ordinance to expand the city’s neighborhood watch program in collaboration with local police.,N/A,Passed,2025-04-21
10,Restrict Surveillance Usage,An ordinance limiting the use of public surveillance cameras by law enforcement.,N/A,Proposed,2025-05-15
11,STEM Education Grant,An ordinance establishing grants for schools to promote STEM learning and after-school programs.,N/A,Passed,2025-05-12
12,Limit Charter School Growth,An ordinance restricting the expansion of charter schools in favor of funding public education programs.,N/A,Proposed,2025-06-19
13,Affordable Housing Incentive,An ordinance offering developers incentives to include affordable housing units in new projects.,N/A,Passed,2025-06-05
14,Real Estate Speculation Tax,An ordinance imposing taxes on vacant commercial properties to discourage speculation.,N/A,Proposed,2025-07-14
15,City Employee Retirement Reform,An ordinance modifying pension contribution rates for city employees to balance the city budget.,N/A,Passed,2025-07-09
16,Green Energy Procurement,An ordinance to transition all city buildings to renewable energy providers by 2030.,N/A,Passed,2025-08-22
17,Public Safety Recruitment Drive,An ordinance to fund a recruitment campaign to increase the number of trained emergency responders.,N/A,Passed,2025-09-04
18,Reduce Fire Department Overtime,An ordinance reducing overtime pay for fire department personnel to lower city operational costs.,N/A,Proposed,2025-09-23
19,Universal Preschool Initiative,An ordinance establishing free preschool access for all residents to promote early education.,N/A,Passed,2025-10-01
20,Eliminate School Nutrition Funding,An ordinance cutting funding for public school lunch programs to reduce spending.,N/A,Proposed,2025-10-19
21,Tech Startup Accelerator Program,An ordinance launching a startup incubator to promote innovation and local job growth.,N/A,Passed,2025-10-11
22,Business Licensing Fee Increase,An ordinance raising annual business licensing fees to generate additional city revenue.,N/A,Proposed,2025-10-20
23,Public Art Initiative,An ordinance establishing grants to support local artists and public mural projects.,N/A,Passed,2025-10-23
24,Citywide Noise Regulation,An ordinance introducing noise limits for construction and nightlife venues.,N/A,Proposed,2025-10-25
